POLITICAL_UNIT,NAME,WGMS_ID,GEN_LOCATION,SPEC_LOCATION,LATITUDE,LONGITUDE,PRIM_CLASSIFIC,FORM,FRONTAL_CHARS,EXPOS_ACC_AREA,EXPOS_ABL_AREA,PARENT_GLACIER,REMARKS,GLACIER_REGION_CODE,GLACIER_SUBREGION_CODE
IN,RGI50-14.15665,9573,WESTERN HIMALAYA,LAHAUL SPITI,32.2753,77.72446,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15666,7112,WESTERN HIMALAYA,LAHAUL SPITI,32.30929,77.73987,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15667,9852,WESTERN HIMALAYA,LAHAUL SPITI,32.31161,77.76243,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15668,9740,WESTERN HIMALAYA,LAHAUL SPITI,32.31796,77.72312,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15669,9665,WESTERN HIMALAYA,LAHAUL SPITI,32.31343,77.72659,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15670,9457,WESTERN HIMALAYA,LAHAUL SPITI,32.33068,77.75986,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15671,7173,WESTERN HIMALAYA,LAHAUL SPITI,32.35261,77.74564,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15672,7046,WESTERN HIMALAYA,LAHAUL SPITI,32.32153,77.75542,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15673,7096,WESTERN HIMALAYA,LAHAUL SPITI,32.36076,77.7668,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15675,9451,WESTERN HIMALAYA,LAHAUL SPITI,32.38258,77.77993,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15676,9486,WESTERN HIMALAYA,LAHAUL SPITI,32.39171,77.78572,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15677,9798,WESTERN HIMALAYA,LAHAUL SPITI,32.39991,77.78835,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15678,10059,WESTERN HIMALAYA,LAHAUL SPITI,32.39567,77.74118,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15679,9560,WESTERN HIMALAYA,LAHAUL SPITI,32.39907,77.7347,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15680,7010,WESTERN HIMALAYA,LAHAUL SPITI,32.40579,77.73097,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15681,9948,WESTERN HIMALAYA,LAHAUL SPITI,32.41034,77.72806,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15682,9585,WESTERN HIMALAYA,LAHAUL SPITI,32.41385,77.7218,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15683,9692,WESTERN HIMALAYA,LAHAUL SPITI,32.40328,77.72098,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15684,7222,WESTERN HIMALAYA,LAHAUL SPITI,32.38779,77.71948,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15685,7312,WESTERN HIMALAYA,LAHAUL SPITI,32.37308,77.73644,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15686,7163,WESTERN HIMALAYA,LAHAUL SPITI,32.37431,77.70976,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15687,7003,WESTERN HIMALAYA,LAHAUL SPITI,32.37926,77.67472,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15688,9868,WESTERN HIMALAYA,LAHAUL SPITI,32.37696,77.66845,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15689,9730,WESTERN HIMALAYA,LAHAUL SPITI,32.37784,77.6599,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15690,9799,WESTERN HIMALAYA,LAHAUL SPITI,32.36595,77.64402,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15691,6917,WESTERN HIMALAYA,LAHAUL SPITI,32.34393,77.734,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15692,7052,WESTERN HIMALAYA,LAHAUL SPITI,32.34389,77.72876,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15693,6916,WESTERN HIMALAYA,LAHAUL SPITI,32.35216,77.71209,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15694,6863,WESTERN HIMALAYA,LAHAUL SPITI,32.28843,77.69633,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15695,9528,WESTERN HIMALAYA,LAHAUL SPITI,32.29343,77.69984,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15696,6943,WESTERN HIMALAYA,LAHAUL SPITI,32.28112,77.69774,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15697,7160,WESTERN HIMALAYA,LAHAUL SPITI,32.27475,77.69518,6,2,9,,,,,ASW,ASW-03
IN,RGI50-14.15698,9593,WESTERN HIMALAYA,LAHAUL SPITI,32.28569,77.67577,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15699,7100,WESTERN HIMALAYA,LAHAUL SPITI,32.27907,77.66071,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15700,9488,WESTERN HIMALAYA,LAHAUL SPITI,32.27325,77.64949,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15701,7093,WESTERN HIMALAYA,LAHAUL SPITI,32.26361,77.64099,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15702,9645,WESTERN HIMALAYA,LAHAUL SPITI,32.31137,77.67226,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15703,7017,WESTERN HIMALAYA,LAHAUL SPITI,32.30157,77.67506,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15704,10024,WESTERN HIMALAYA,LAHAUL SPITI,32.30633,77.65459,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15705,7225,WESTERN HIMALAYA,LAHAUL SPITI,32.30656,77.66229,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15707,7029,WESTERN HIMALAYA,LAHAUL SPITI,32.31378,77.64713,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15708,9808,WESTERN HIMALAYA,LAHAUL SPITI,32.30064,77.62772,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15709,7051,WESTERN HIMALAYA,LAHAUL SPITI,32.30167,77.63669,6,3,9,,,,,ASW,ASW-03
IN,RGI50-14.15710,7382,WESTERN HIMALAYA,LAHAUL SPITI,32.30068,77.64352,6,3,9,,,,,ASW,ASW-03
